Its content has classic and tragic dimensions beyond politics.	This film has received a lot of praise from critics, but not that many people will find this that entertaining.	Both a how-to manual for guerrilla terrorism and a cautionary tale about how to fight it. It's also quite possibly the finest war film ever made.	The price of invasion has never been more poignantly spelled out than in this classic film.	'The Battle of Algiers' serves potent warning to those who envision warfare, or any Western-dictated settlement, in areas so hungry and so foreign.	A powerful, documentary-like examination of the response to an occupying force, The Battle of Algiers hasn't aged a bit since its release in 1966.
As intriguing as it is downright eerie.	Films like The Blair Witch Project use a fake documentary format to try and create a horror film about an urban myth that turns out to be real. Cropsey, though, is the real deal.	The portentous narration and manipulative horror-film aesthetics turn what might have been a portrait of a boogeyman myth's lingering societal role into merely a crude episode of 48 Hours.	This disturbing true-crime documentary takes its name from a local bogeyman that video makers Joshua Zeman and Barbara Brancaccio were warned about when they were growing up on Staten Island.	This horrifying documentary stirs up, if not confirms, your worst fears.	Riveting and bone-chillingly creepy, Cropsey manages to be one of the best documentaries and one of the best horror movies of the year.
"Jiro Dreams of Sushi"is as elegant and tasty as the splendid sushi prepared by the man in the title, and that is saying a lot	Overall, this is a pleasant and often enlightening journey.	The centerpiece is a gorgeously photographed sequence showing a dinner at Jiro's restaurant, a "concerto" of the many courses (all sushi, no appetizers) that will make any foodie's mouth water.	The real star of the movie is the delectable sushi itself.	The movie functions well as high-end food porn, but it's also an insightful character study of the single-minded Jiro.	Beautiful, thoughtful, and engrossing, Jiro Dreams of Sushi should prove satisfying even for filmgoers who don't care for the cuisine.
This is simply exploitation on a very juvenile level.	Wild animation, tons of blaring rock music, and fanboy wish fulfillment fantasies of the freakiest order. Good campy fun.	Heavy Metal despite all of its flaws and anacrhonisms, nevertheless represents something of a refreshment in today's sterile climate.	You have to conclude that its makers should have got out more.	Some of the animation is first-rate, particularly in the more modest comedy segments, and even the heavy set pieces have greater flash and dazzle than anything Ralph Bakshi mustered around the same period.	It's sexist, juvenile, and dated, but Heavy Metal makes up for its flaws with eye-popping animation and a classic, smartly used soundtrack.
Too lazy to take advantage of its semi-humorous premise.	The Cold Turkey would've been a far better title.	The execution is so pedestrian that the most positive comment we can make is that Rob Schneider actually turns in a pretty convincing performance as a prissy teenage girl.	Half of the humor goes into the "how could they possibly have thought that was funny?" file.	A crude teen-oriented variation on a theme that the playwright Craig Lucas explored with infinitely more grace and eloquence in his Prelude to a Kiss.	The Hot Chick's one-note concept gets stretched thin, and a lot of the jokes fall flat.
For all the bucolic beauty and ravishing romance, we're reminded that violence is never far from the surface - and Vinterberg captures the brewing tragedy magnificently.	David Nicholls deserves huge credit for condensing Hardy's sprawling melodrama into a rollicking screenplay that comes in at under two hours and still hits all the major plot points.	It's a classy and seductive example of the art of the intimate epic.	Ultimately, this is a romance, so our heroine never strays too far from the appointed path - and its swoony end - but the director also gives her space to explore what it might be like to, well, just have your own piano.	A painterly movie with stunning cinematography, 'Far From the Madding Crowd' stays faithful to the classic novel by Thomas Hardy. The story of manners and class distinctions is told with director Thomas Vinterberg's focus on environments and costumes.	Far from the Madding Crowd invites tough comparisons to Thomas Hardy's classic novel -- and its previous adaptation -- but stands on its own thanks to strong direction and a talented cast.
Even though it has an uneven narrative, it's worth watching. [full review in Spanish]	Heineman and his crew gain a terrifying level of access, giving us front-row seats to the drug war.	A movie that seeks action over analysis and could draw in the type of audience that does not regularly attend documentaries.	Heineman goes through the gates of Hell and comes back empty-handed.	Cartel Land [is a] spellbinding, verite documentary -- a frontline look at the murderous Mexican drug cartels.	Raw, brutal, and bitter, Cartel Land offers a ground-level look at vigilante efforts to thwart organized crime at the Mexican-American border.
The baby-voiced costar of Chasing Amy proves an effortless filmmaker, turning Lucy's journey into the awakening of a soul.	This is a quietly powerful film about small-town Southern living that avoids all the usual clichés and makes us feel as if we're dropping in on real lives in mid-stream.	...nothing less than a minor key wonder of a film, a character study of novelistic complexity with a sure sense of place and purpose that seems akin to movies made before Hollywood discovered its corporate destiny.	The script is somewhat predictable and the pace is leisurely, but Ms. Judd makes Lucy's choices seem momentous, and Ms. Adams gives us several beautiful scenes.	What Come Early Morning does is create an utterly convincing central character, and surround her with a milieu and backstory that is sincere and convincing.	A quiet but moving film anchored by the unexpected depth of Ashley Judd's performance.
A film approximately 48 times worse than the original.	Miller has gone bigger and better on everything - the stakes are raised, the risk is greater, the fears are bigger, and, as a result, the pay-offs are better and the highs higher.	It's not very good as a film, but there's no denying its stunning animation, particularly in the service of its two daffiest new characters Will (voice of Brad Pitt) and Bill the Krill (voice of Matt Damon), and its sheer lunacy can be invigorating.	Mumble is grown up. He has a son Eric. The boy is convinced he can fly. If only his movie could fly.	If the original, Academy-Award-winning "Happy Feet" left you with your toes tapping, then you'll leave this one with happy feet, too.	The animation is as eye-popping as ever, but Happy Feet Two's narrative is too noisily incoherent to recapture the Oscar-winning charm of its predecessor.
When the psychology is incomprehensibly vague, and the thrills nowhere in sight, I'd say the mess is complete.	Lo que mantiene el interйs es el cada vez mбs impredecible comportamiento de la esposa, animada ademбs por una estupenda Helen Mirren (la mejor intйrprete de la pelнcula).	Mr. Brugge has perhaps succeeded in avoiding vulgar melodrama, but he has hit on something far worse -- a bloodless melodrama, with bottled water running in its veins.	It all adds up to an acute character study -- but as a thriller, it's too cerebral to quicken the pulse.	It's one of those movies that seems to have started out as one thing and ended up as quite another.	Though it has an excellent cast, this emotionally detached movie is the kind that one admires more than enjoys.
A curiously languid affair, rather than the breathless Costa-Gavras-style thriller which was the least one might have expected from this kind of material.	Weir's movies are open-ended, stylish dramas that engage our senses, psyche, and wonder.	A good, romantic melodrama that suffers more than most good, romantic melodramas in not being much better than it is.	Combining political intrigue, steamy romance, and engaging characters, Peter Weir's well-crafted, highly enjoyable adventure is one of the few successful efforts to make a Casablanca-like movie for modern audiences.	Biting, tense Weir film--factually based	Both a smart, suspenseful tale of intrigue and a sweeping romance, The Year of Living Dangerously features excellent performances from Mel Gibson and Sigourney Weaver as a pair of journalists covering political unrest in Indonesia.
This is eye candy with a hollow centre.	The pacing of this 3-D animation film is uneven, from slow and sad to madcap, but eventually all is explained and it turns out to be a decent time travel story.	entertaining without getting too scary for kids, too dumb for parents or too outlandish for movie lovers.	Whether you see this loony, feel-good comedy in 3-D or in regular vision, it's a lot of fun.	The animation strives for 1950s sci-fi retro, but the result is that everyone looks like a plastic animé doll.	Meet the Robinsons is a visually impressive children's animated film marked by a story of considerable depth.
The beautifully acted ensemble film The Witnesses sidesteps most of its opportunities for high drama, political sermonizing and the jerking of tears.	The Witnesses has an emotional maturity that adds richness to its social observation.	Some may think the metaphoric possibilities of an incurable illness that can be transmitted through sexual contact have been all but exhausted. Director André Téchiné almost proves otherwise in The Witnesses, a kind of film opera without music.	As in real life, often the main crisis morphs into a continuance that has no slam-bang conclusion. Rather, we just see a small hope that awakes to experience another sunrise.	A moral tale that isn't saddled with moralism, The Witnesses is a novelistic film in the best sense.	French director André Téchiné successfully weaves five gripping stories in an engaging and realistic film about the early days of the AIDS epidemic.
Not the best of the three but Robert Downey, Jr. is better than ever.	That is why Iron Man 3 does a very smart thing, something comic fans have always known is what makes comics great: it takes a superhero and focuses on the man.	Iron Man 3 is neither turgid nor zippy. It soars at times, and dawdles in places.	Iron Man 3 provides loads of high-flying fun thanks to the immense charisma of the quick-quipping Robert Downey Jr.	With superhero movies, over time the mythology gets junked up with tertiary characters and leftover storylines. Tony Stark & Co. have taken the Iron Man franchise as far as it can go.	With the help of its charismatic lead, some impressive action sequences, and even a few surprises, Iron Man 3 is a witty, entertaining adventure and a strong addition to the Marvel canon.
If you liked "Dogville," you won't want to miss this Danish Cake of minimalism.	American filmmakers, novelists and artists of all stripes have dealt the perplexing issue of race relations for decades, even centuries. Nothing von Trier presents here, whether real or imagined, is fresh or new.	Von Trier may not be completely right, but he certainly isn't all wrong.	I am glad that [Von Trier] exists, to decry our sins, but, with another sequel to come (Manderlay is the centerpiece of a trilogy), I am even gladder that he is one of a kind.	Manderlay isn't as powerful or as intense as Dogville, but it is still an intriguing and entertaining film, thanks to Bryce Dallas Howard's performance and John Hurt's hugely enjoyable narration.	Manderlay may work better as a political statement than as a film, making its points at the expense of telling a compelling story.
Pic is particularly well-crafted, managing to avoid the ambulance-chasing tenor that might easily have turned this into a voyeuristic freakshow.	Returns repeatedly to the tangled relationship between hipsters and the out-of-control oddballs they enable.	Occasionally slides into a breathless fan tribute, but nonetheless an affectionate and candid portrait of a troubled artist.	"I think he was having fun teasing me. What do you think?" Daniel Johnston's mother and father are still trying to figure out their perplexing child, even now, when he's 44 years old.	Like Capturing the Friedmans, Devil is loaded with revealing footage, rife with psychodrama, including a creepy home movie in which the teenage Johnston plays himself and his overbearing mother.	Whether you think this mentally ill cult musician is worthy of being called a "genius," this document of his life is crafted with sincere respect and is fascinating to watch.
While Farhadi's eye for detail is as unsparing as ever, his style this time around has begun to look formulaic.	A thickly knotted and compelling tale, set in an unglamorous, working-class Paris, it churns with complex emotions, suspense, guilt, and regret.	'The Past' opens at a Paris airport, where Marie and the newly arrived Ahmad greet each other through a pane of glass. Their lips move, but they don't actually hear one another. This is a state that will be maintained more or less throughout the film.	The narrative complications can be distracting, at times exasperating, but they're finally irrelevant because Mr. Farhadi's filmmaking is so fluid, and the performers, Ms. Bejo, in particular, are so attractive.	One of the best films of the season, with remarkable dramatic performances.	Beautifully written, sensitively directed, and powerfully acted, The Past serves as another compelling testament to Asghar Farhadi's gift for finely layered drama.
About halfway through writing a review of Shutter Island, I was caught by an undertow. I originally thought that the movie was stylistic nonsense. But then I realized that beneath the nonsense were intriguing swirls and tides.	Shutter Island is a hypnotic and disturbing thriller. A near-masterpiece.	Scorsese feverishly works over the script with his typical widescreen gusto, only to end up with a flaccid central mystery barely worth the exertion.	Shutter Island feels disappointingly like a minor work. But hey, who says every film has to be a masterpiece?	Despite its pacing problems and 'I see dead people' denouement, Scorsese's latest is a brain-scrambling good time	It may not rank with Scorsese's best work, but Shutter Island's gleefully unapologetic genre thrills represent the director at his most unrestrained.
Connery, Baldwin, a Tom Clancy novel; great fun.	The first Jack Ryan thriller adventure is a supremely mounted film, well acted by Alec Baldwin and Sean Connery, and vastly enjoyable.	Clancy is known for writing difficult books, but the movie makes plausible a preposterous situation because of Baldwin's convincing, low-key approach to being a film hero.	It is Sean Connery who really makes this movie work for me.	Regressive old-fashioned thriller of a sort that mostly died out 20 years earlier.	Perfectly cast and packed with suspense, The Hunt for Red October is an old-fashioned submarine thriller with plenty of firepower to spare.
The film itself seems lost in a time warp -- even its attitude toward the '80s is out of date considering the ongoing revival in music and fashion from that era.	Kickin' It Old Skool equates making incalculable 80s pop culture references with joke telling.	The funniest thing about Kickin' It Old Skool, yet another in a long line of not particularly funny Kennedy movies, is how little we actually have advanced since the '80s.	Were the filmmakers really so wedded to every scene they couldn't find 15 minutes to cut? Besides, shouldn't we as a culture being moving on to depleting the comic potential of '90s nostalgia by now?	Adults old enough to appreciate the choice electro-boogaloo soundtrack and get the 'Mr. Roboto' jokes will doubtless find the rest of it painfully dumb.	Kickin' It Old Skool is one big unfunny pop culture reference that doesn't feature many laughs.
Blue Streak is a decent action flick packed with laughs.	A lifeless farce!	Lawrence has become involved in a film that makes us acutely embarrassed for him.	Blue Streak suffers from an identity crisis.	Succeeds as an undemanding, fast-paced comedy.	Martin Lawrence lends his comedic touch, but the movie isn't much more than standard action-comedy fare.
An old-fashioned and occasionally schmaltzy movie that delivers an emotional wallop sure to elicit tears from all but those with truly intractable hearts.	"The Notebook" is a story for those who believe that love is the most powerful force in the universe... or for those who merely want to.	Men hardly need to be warned that this is basically just Titanic without anything cool like a ship sinking or Kate Winslet posing for art.	Manages to touch a chord, even if it's a minor one.	A sweetly sappy, sentimental story exploring haunting, enduring memories of a summer romance that lasts a lifetime.	It's hard not to admire its unabashed sentimentality, but The Notebook is too clumsily manipulative to rise above its melodramatic clichés.
It's willfully out of date, like an aging hair band that can't pack away the spandex.	The impressive-sounding cast only temporarily distracts from a plot riddled with holes, clichéd dialogue and fight sequences too reliant on quick edits.	The Expendables is third-rate.	Occasionally fun in its over-the-top mindlessness; the fun just never lasts more than a couple minutes at a time.	With only a couple of artistic virtues and even fewer moral attributes to its credit..."The Expendables" is wretched.	It makes good on the old-school action it promises, but given all the talent on display, The Expendables should hit harder.
It's a powerful and thought-provoking movie.	Vinterberg's acidic, important and brilliantly infuriating thriller reaches the heights of his best work, cannily examining the psychology of mob mentality, and bound to leave viewers in a state of high anxiety.	Vinterberg's best filmmaking since his Dogme '95 entry "The Celebration."	Mikkelsen, an actor still perhaps best known as the Bond villain in Casino Royale, shows just how excellent a performer he is.	Mikkelsen's an actor of restraint, and ...Vinterberg's modern day witch hunt tale gives the actor a whole range of restraint to work with in a film whose title begins literally, turns figurative, then, in a chilling coda, suggests a merging of the two.	Anchored by Mads Mikkelsen's sympathetic performance, The Hunt asks difficult questions with the courage to pursue answers head on.
Director George Miller obscures Updike's original version with senseless special effects.	Really stylish, undervalued comedy fantasy.	Superbly played horror-comedy; a delight	...at its best whenever Nicholson or Cartwright are on the screen.	Jack Nicholson is at his mischievous best in this wildly entertaining battle of the sexes.	A wickedly funny tale of three witches and their duel with the Devil, fuelled by some delicious fantasy and arch comedic performances.
In theory, I suppose it would be funny-and incongruous-if in the middle of a serious costume drama a noble action hero uttered a four-letter word. Hearing Danny McBride do just...	Falls instead into a deep chasm of such comic lowness after less than five minutes that it's unable to extricate itself. Things get so bad you half expect a cameo by Nicolas Cage.	"Your Highness" is ... built on a flimsy house of profane cards that begins crumbling with the opening narration and never recovers.	I got the idea, because of the title, that 'Your Highness' would be a stoner comedy. It is in a couple of spots. More than that, though, it's a just-serviceable, grownups-only nod to other medieval fantasy movies.	The movie's improvisatory recklessness often relies on stock, fallback comedy: scenes lazily punchlined on four-letter words, pot slang, and gay jokes only offensive in their unoriginality.	Big budgets and costumes in service of scatalogical jokes may seem funny on paper, but in execution this is a highly monotonous romp that registers only occasional laughs.
Unspectacularly effective and provocative, Shattered Glass successfully dramatizes individual dilemma that carries over into major social implications.	About as well executed as any movie I've seen this year.	Through Christensen's economical soft-shoe performance, Glass's zeal and obliging modesty work the same disarming hoodoo on the viewer as they do on his snake-oiled co-workers	It takes craft, insight and expert delivery to make an 'insider' story interesting to those on the outside. And that's exactly what Shattered Glass does.	While we never find out why Glass did what he did, the tale of how it all fell apart is a good one.	A compelling look at Stephen Glass' fall from grace.
...chick flick city...a ménage ŕ trois-lite...agonizing to watch poor Emily Blunt laugh uproariously at contrived, slice of life conversation made with her sister	It certainly shows that fine films don't need big budgets, capturing some sweet lightning in an arresting bottle indeed.	...a deft blending of comedy and drama. It may not be the most credible film of the year, but I found it diverting and enjoyable.	No question that Shelton and her cast share a remarkable collaborative rapport.	The dialogue was largely improvised during a 12-day shoot, and the chemistry between the leads appears effortless.	Superbly acted and satisfyingly engaging, Your Sister's Sister subverts rom-com conventions with sensitive direction, an unconventional screenplay, and a big heart.
Ginormous in both scale and emotional wallop, MGM's epic is still a cinematic event to be savoured.	Clark Gable and Vivien Leigh create their own sizzle as Rhett Butler and Scarlett O'Hara in a lavish four-hour epic that juxtaposes scenes of jaw-dropping majesty with moments of elegant intimacy and playful verbal jousting.	But once the story kicks in and Leigh and Gable slip into their characters, it's difficult not to be caught up in what is still one of the most vivid depictions of civil war (and its destructive aftermath) ever committed to film.	It could be -- and should be -- viewed from a dozen different perspectives, but it is, above all, a story about adapting to the most challenging circumstances possible.	Even though the habits of movie- goers have changed over the years, it's easy to see why this film provoked such an outpouring of praise and adulation during its initial release, and why its stature has grown with the passage of decades.	Filmed and presented on a scale not seen in modern productions, Gone with the Wind is, if not the definitive Hollywood film, then certainly near the top of the list.
The movie is for fans who can't stop loving anime, and the fanatical excess built into it.	Otomo's typically sophisticated script ensures slick pacing, combining humour, terror and pathos, particularly in the final scenes.	A fast-moving and remarkable film that appears destined to become a landmark in Japanese animation.	Melds derivative elements into something that is often quite rich and exciting, and always a beauty to behold.	A jaw-droppingly beautiful work that upends nearly every cliché of Japanese animation while delivering a more than satisfactory amount of carnage.	A remarkable technical achievement, Metropolis' eye-popping visuals more than compensate for its relatively routine story.
"Man, I could be doing my laundry," I groused, as Clooney looked deep into the camera's eyes and gave me nothing.	Solid, complex character study from the team that's single-handedly championing the genre. This one finds the ever-improving George Clooney as a legal "fixer".	As with the Bourne films, Gilroy has a knack for creating strong characters and situations that resonate with tension.	There are more than ample rewards for discerning adults: Some of the best dialogue in a recent movie and a gallery of unforgettable performances.	Full of plausible characters who are capable of surprising - and surpassing - your expectations.	Michael Clayton is one of the most sharply scripted films of 2007, with an engrossing premise and faultless acting. Director Tony Gilroy succeeds not only in capturing the audience's attention, but holding it until the credits roll.
It remains one of the best examples of sustained tension.	Read the review on the 2003 Director's Cut	Watching it again reminded me how remarkably the sound engineers did their jobs.	Just getting to see this freakin' frightening and visually stimulating flick on a big screen makes this well worth a trip to your homeworld multiplex.	The movie inspired three sequels and remains undeniably frightening. It also marks a significant step in the evolution of modern science-fiction films.	Director Ridley Scott re-edits his 1979 sci-fi classic to produce an elegantly re-mastered film that is as terrifying and effective as ever.
[Burshtein has] reinvigorated a familiar narrative by painting it against an unfamiliar backdrop.	Buhrstein, whose assuredness belies the fact that this is her first film, captures this dilemma mainly through Shira's eyes.	a subtle, elegant movie that brings us into the structured world of Tel Aviv's ultra-Orthodox Hasidic community to show how one young woman navigates the demands of her religion and her family's expectations without losing herself in the process.	Emotional issues an an insular world	Burshtein has achieved a gripping film without victims or villains, an ambiguous tragedy drawing on universal themes of love and loss, self-sacrifice and self-preservation.	Graceful, complex, and beautifully layered, Fill the Void offers a sympathetic portrait of an insulated culture by exploring universal themes.
Tone and pace are absolutely crucial to comedy. If the tone is wrong or the pace is off - by even a hair - the comedy will shrivel up and die. And that's precisely what happens in The Promotion.	This is one of the more original movies of the year, and it's the rare film that's primarily about the workplace.	Fails as a comedy because it's less funny and interesting than it would be to watch stars Seann William Scott and John C. Reilly sitting in lawn chairs and talking for 90 minutes.	Director Steve Conrad probably counts on the natural likability of Scott and Reilly to make this comedy go down a little easier, but it doesn't always do the trick.	Not that there aren't some great laughs, but this is far from the laugh-a-minute yuck-fest some might expect.	With a workplace-related theme worthy of satire, The Promotion features some sharp witticisms but ultimately disappoints.
Disgrace is an ugly movie, at times torturous to watch. It probably needs to be.	Though overwrought in its early scenes, the movie quickly settles into an intelligently faithful rendering of a calling to account, whose visceral power and political implications need no hyping.	Malkovich gives a compelling and touching performance as a lit professor who embarks on a journey of discovery and self-evaluation after being involved in a sex scandal with a student, forced to confront the new realities of the post-apartheid era.	A lethal look at the after-shock of apartheid. Tough to watch but bearing a powerful message.	Demanding but ultimately rewarding...	Featuring outstanding performances from John Malkovich and newcomer Jessica Haines, Disgrace is a disturbing, powerful drama.
It's the elements that Hollywood usually neglects - the characters, the dialogue and the humour - that makes The Avengers such an unadulterated pleasure.	Shrug however you might at a story that has to pack so many characters and tangents into 140 minutes; it will still be difficult for me to see beyond the joyous awesomeness.	The Avengers is one of the greatest superhero films ever made. It's smart, fast, unrelenting fun. An instant, nuanced classic.	The movie engages the viewer from a very strong opening sequence through the two bonus scenes included in the closing credits. The nearly two and a half hour running time passes by swiftly and leaves you eagerly awaiting a follow-up sequel.	Though overlong and inevitably burdened by the need to juggle so many protagonists, the film is robustly entertaining and manages to maintain a playful, crowd-pleasing spirit.	Thanks to a script that ephasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.
A worn rock skipping along a smooth, glassy surface.	Zach Braff's appeal ... is his ability to underplay the comedy, to appear befuddled and intimidated as madness surrounds him.	Braff has an ear for dialogue. ... The pauses, the search for words - the right words - overflow from Braff's script. It ... deserves an original screenplay Oscar nomination.	It's a forgettable film featuring a throw-away story with unmemorable characters and unremarkable performances.	Braff clearly loves these characters, and his enthusiasm for them ultimately carries the day.	Delivering a quirky spin on familiar twentysomething tropes -- with a cannily-placed soundtrack -- Garden State has enough charm to mark a winning debut for first-time director Zach Braff.
La tecnología actual resulta en muchas ocasiones contraproducente, ya que mientras más tecnificado se encuentra el ser humano es más fácil quitarle su identidad propia	It's enough to restore my confidence in Hollywood's ability to put out a pretty good movie and a popcorn-muncher at the same time.	Totally satisfying!	As a simple thriller that wants only to excite and intensify, it's one of the better ones that the late '90s produced.	The movie has plenty of high-tech power, spinning out action so explosive you'll hardly notice how preposterous the story is or how cardboard-thin the characters are.	An entertaining, topical thriller that finds director Tony Scott on solid form and Will Smith confirming his action headliner status.
One of King Corman's finest pictures.	In the end, it reveals itself to have nothing to say beyond the superficial about government or rebellion. And in the absence of such a statement, it becomes what it seems to have mocked -- a spectacle glorifying the car is an instrument of violence.	Unwatchable car wreck of an exploitation film.	Don't miss it.	Death Race 2000 is as Corman as his B-grade action pics come, with cars flying through the frame, blood spilling behind them, and overnight pit-stops for some sex ("navigators" in each car keep their drivers juiced up).	Death Race 2000 is a fun, campy classic, drawing genuine thrills from its mindless ultra-violence.
A blistering and convincing documentary designed to spur reform for a new system of universal health care.	Hard-hitting, informative, wise and engaging muckracking documentary.	In another lifetime, Michael Moore and George W. Bush probably would have been great friends.	Sicko, which takes on America's profoundly profitable and catastrophically inefficient health care system, is Moore's most assured, least antagonistic and potentially most important film.	Soon we realize that Sicko hinges not on what Michael Moore is uncovering, but on what he's hiding. This is a real shame as he's a talented documentary maker.	Driven by Michael Moore's sincere humanism, Sicko is a devastating, convincing, and very entertaining documentary about the state of America's health care.
The ambiguous ending leaves the crimes and the dark happenings unexplained. The movie will remind you of M. Night Shyamalan's "The Village" (2004) and Lars von Trier's "Dogville" (2003).	A fantastically controlled, deeply spooky film from one of the most accomplished directors currently working in cinema.	A meticulously constructed, precisely modulated tapestry of malice and intrigue in a rural village in pre-World War I northern Germany.	Haneke has made a deeply unsettling and gravely beautiful film that tells us very little. But the performances are astonishing, and the faces of the children, caught in long, static close-ups, may haunt you for a long time.	Something of a distant Teutonic cousin to Henri-Georges Clouzot's caustic Le Corbeau, White Ribbon amply displays Haneke's filmmaking mastery.	The White Ribbon effectively utilizes tension and a bleak atmosphere to deliver a thought-provoking examination of nascent fascism.
A scrubbed-clean fantasy, the story of privileged people living lives taken straight from catalogs.	A romantic comedy in which Meryl Streep, but not the audience, laughs a lot.	Mixing elements of frisky French farce with middle-class American comedy, It's Complicated is a daffy and delectable spree.	If you're in the mood for a delightful, middle-aged romantic comedy, this is your ticket. It's a glossy holiday confection that's chock full of laughter.	While making a few pithy observations about the mid-life condition, it's no more complicated - or profound - than a racy issue of Hello!	Despite fine work by an appealing cast, It's Complicated is predictable romantic comedy fare, going for broad laughs instead of subtlety and nuance.
There ought to be a law against what they do to Morgan Freeman in High Crimes.	Conventional, with a twist you'll probably guess, but absorbing because of Ashley Judd's forceful performance.	High Crimes steals so freely from other movies and combines enough disparate types of films that it can't help but engage an audience.	High Crimes doesn't exactly get a high-five from me, but it doesn't commit any felonies, either. I'll give it 2-3 with time off for good behavior.	Mediocre thriller of the betrayed-woman genre.	Ashley Judd and Morgan Freeman make this predictable affair watchable.
Wallow in it.	Nichols takes his time unravelling Mud and Ellis's entwined fates, but his characters are so rich that it's well worth being in their company.	A modern fairy tale, steeped in the sleepy Mississippi lore of Twain and similar American writers, and with a heart as big as the river is wide.	Mud is a movie of striking performances and memorable images and of people who seem to belong in rather than being imposed upon their environment.	McConaughey is terrific but the picture is really made by the fierce and unforgettable performance of Tye Sheridan as Ellis.	Bolstered by a strong performance from Matthew McConaughey in the title role, Mud offers an engaging Southern drama that manages to stay sweet and heartwarming without being sappy.
This Coen Brothers adaptation of the Cormac McCarthy novel may be their darkest film yet. It's also one of their best.	The most fascinating element of the film is its formal linking of its multiple, no-nonsense protagonists. [Blu-Ray review]	Spanish actor Javier Bardem should leave audiences gasping with his stone-cold performance in the blood-spattered saga No Country For Old Men.	It's the Coen's masterpiece.	The Coen Brothers make the same old story exciting again by telling the entire story in action. Nobody explains their plans, they just see what they have to do and do it. It's all clear, and it's never slow.	Bolstered by powerful lead performances from Javier Bardem, Josh Brolin, and Tommy Lee Jones, No Country for Old Men finds the Coen brothers spinning cinematic gold out of Cormac McCarthy's grim, darkly funny novel.
This isn't just a characterization of a man going through a transition to the issue of mortality, but it's also a transformative performance by an actor rising in depth.	It's not a perfect movie, but this hard-edged film ends up being fully engaging thanks to another powerful performance from McConaughey.	If the camera occasionally suffers a fashionable case of the jitters, the movie transcends its agitated verismo to impart dramatic and behavioral truth.	Does a few things wrong but a lot right, starting right at the top with McConaughey.	Though a spotty second half reveals its limitations, this story of one man's crusade against the virus soars thanks to the stellar performances of its two leads.	Dallas Buyers Club rests squarely on Matthew McConaughey's scrawny shoulders, and he carries the burden gracefully with what might be a career-best performance.
The poster for this movie shows Martin Lawrence in fat-lady drag tugging at a wedgie. This is as funny as it gets...In other words, it's not just disappointingly lackluster, derivative, and lazy, it's also out of touch and creepy.	Usually, you can tell when an actor is enjoying himself in a role, but I honestly couldn't tell whether Lawrence was having fun or simply exploiting the character for a second dip at the box office. I just hope he has no reason to do it again.	Happiness is an actor in a fat suit, or at least that is what Hollywood thinks	Putting the 'low' into low-brow humour, it's a series of sketches in which Martin Lawrence immerses himself into a fat suit and a frock and puts himself into ridiculous situations. Not funny.	If Lawrence makes you laugh, you'd be better off watching him do stand-up.	Unfunny and unoriginal. In other words, a perfect piece of evidence for opponents of pointless movie sequels.
It's hard to muster the attention span to care about Earth's Mightiest Heroes when we know they'll just be back to do it all again in a few years.	Overall, though, for all of its cheesy fun mixed with doom-and-gloom observations on the plight of humanity, this Avengers leaves us with the nagging feeling that we've been here too many times before.	Avengers: Age Of Ultron is smart, nimble and recognises that the one way to make yet more scenes of mass destruction involving is to give the story behind them a little heart.	A sequel as epic as it is overly ambitious and as sprawling as it is restless.	Entertaining as much of "Avengers 2" is, especially when it's just hanging out with the gang in between scuffles (the "Guardians of the Galaxy" lesson, learned), Whedon's picture meets expectations without exceeding them.	Exuberant and eye-popping, Avengers: Age of Ultron serves as an overstuffed but mostly satisfying sequel, reuniting its predecessor's unwieldy cast with a few new additions and a worthy foe.
Watching Jane Eyre, I envied those who have never read the book: What would it be like to watch this movie without already knowing all of the story's secrets? Miraculously, Fukunaga preserves much of the book's spooky mysteriousnes.	The story is a little too compact at times but the exquisite performance of Mia Wasikowska makes this film stand out.	The acting of the two leads, Michael Fassbender and Mia Wasikowska, is the best element of this stark, spare, sporadically involving version of Bronte's classic novel.	This particular screen version never generates a lot of heat or intrigue	Wasikowska is the revelation here -- her wary, intelligent face tells us volumes about this abused but unbowed young woman. But the small roles are also beautifully cast.	Cary Fukunaga directs a fiery and elegant adaptation of Charlotte Bronte's classic novel, and Mia Wasikowska delivers possibly the best portrayal of the title character ever.
If you're looking for ferocious, visceral suspense, Kathryn Bigelow delivers with this graphic, subversive portrait of courage under fire, as adrenaline junkies get high on danger.	[Kathryn] Bigelow and screenwriter Mark Boal...have made the first fictional feature about American soldiers in Iraq that doesn't fall apart, or preach to a choir, or turn into a position paper.	The Hurt Locker might be the first Iraq-set film to break through to a mass audience because it doesn't lead with the paralysis of the guilt-ridden Yank. The horror is there, but under the rush.	This is a film that doesn't distract with big self-aggrandizing political statements, but nevertheless succeeds in nailing the horror of the war.	Don't be afraid to dive right in for a harrowing, credible and astonishingly made portrait of bravery and brutality.	A well-acted, intensely shot, action filled war epic, Kathryn Bigelow's The Hurt Locker is thus far the best of the recent dramatizations of the Iraq War.
